States,StateNo.,Year,MMR,Medical,Non.Medical,Any.Exemption,Pop,MedAge,P_White,P_HS,P_BS,MedInc,P_UnInsured,P_Mar,P_BelPov,PerCapHealth,P_ChilNoIns,P_NoCov,P_PrivIns,P_NoPrev,P_LivRur,AveLagMMR,LagMMR11,LagMMR12,LagMMR13,LagMMR14,LagMMR15,LagMed11,LagMed12,LagMed13,LagMed14,LagMed15,LagNMed11,LagNMed12,LagNMed13,LagNMed14,LagNMed15
Texas,44,2013,97.5,NA,1.4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,45,2013,98.5,0.2,4.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,46,2013,91.2,0.2,6.1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,47,2013,93.1,0.2,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,48,2013,89.7,1.2,3.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,49,2013,96.1,0.2,NA,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,50,2013,92.6,0.1,4.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,51,2013,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1,2014,93.5,0.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2,2014,92.7,1.3,4.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3,2014,94.2,0.1,4.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,4,2014,88.4,0.1,1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,5,2014,92.6,0.2,2.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,6,2014,86.9,0.1,5.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,7,2014,97,0.3,1.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,8,2014,97.8,0.4,0.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,9,2014,89.9,0.6,0.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,10,2014,93.3,0.3,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,11,2014,94,0.1,2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,12,2014,NA,0.1,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13,2014,89.5,0.3,6.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,14,2014,94.7,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,15,2014,89.3,0.5,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,16,2014,91.9,0.3,1.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,17,2014,89.2,0.3,1.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,18,2014,92.7,0.2,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,19,2014,96.8,0.1,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,20,2014,92.1,0.5,3.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,21,2014,99.1,0.4,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,22,2014,94.7,0.3,1.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,23,2014,94.3,0.3,5,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,24,2014,93.5,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,25,2014,99.2,0.1,NA,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,26,2014,95.8,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,27,2014,94.6,0.3,3.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,28,2014,96,0.6,1.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,29,2014,94,0.3,1.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,30,2014,91.4,0.2,2.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,31,2014,92.3,0.2,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,32,2014,97.7,0.1,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,33,2014,98.2,0.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,34,2014,96.5,0.1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,35,2014,89.8,0.3,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,36,2014,91.9,0.3,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,37,2014,90.3,0.1,1.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,38,2014,94.1,0.2,5.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,39,2014,91.7,0.3,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,40,2014,95.7,0.2,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,41,2014,96.5,0.1,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,42,2014,97.1,0.2,1.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,43,2014,95.1,0.2,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,44,2014,97.4,NA,1.3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,45,2014,94,0.2,4.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,46,2014,92.7,0.2,5.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,47,2014,93.4,0.3,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,48,2014,89.4,1.2,3.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,49,2014,97.6,0.2,NA,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,50,2014,91.6,0.4,4.9,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,51,2014,96.8,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1,2015,93.1,0.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2,2015,93.5,1.2,4.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3,2015,94.2,0.2,4.5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,4,2015,90.8,0.1,1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,5,2015,94.5,0.2,2.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,6,2015,87.1,0.1,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,7,2015,97,0.3,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,8,2015,97.6,0.1,1.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,9,2015,88.5,0.5,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,10,2015,93.7,0.3,1.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,11,2015,94.6,0.1,1.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,12,2015,91.6,0.4,2.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13,2015,90.2,0.3,5.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,14,2015,94.9,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,15,2015,89.2,0.5,1.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,16,2015,91.8,0.3,1.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,17,2015,89.4,0.2,1.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,18,2015,92.2,0.2,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,19,2015,96.8,0.1,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,20,2015,95.1,0.5,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,21,2015,99.4,0.5,0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,22,2015,96.4,0.3,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,23,2015,95.7,0.2,3.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,24,2015,92.8,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,25,2015,99.4,0.1,NA,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,26,2015,95.7,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,27,2015,94.9,0.4,3.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,28,2015,95.6,0.6,1.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,29,2015,94.7,0.1,1.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,30,2015,91.9,0.2,2.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,31,2015,96.3,0.2,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,32,2015,96.2,0.1,1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,33,2015,95.6,0.1,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,34,2015,97.3,0.1,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,35,2015,90.7,0.3,3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,36,2015,92.1,0.2,2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,37,2015,94.4,0.1,1.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,38,2015,93.9,0.1,6.2,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,39,2015,95.5,0.4,1.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,40,2015,96.4,0.2,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,41,2015,96.5,0.1,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,42,2015,96.5,0.2,1.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,43,2015,93.5,0.1,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,44,2015,97.6,0.2,1.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,45,2015,94.2,0.2,4.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,46,2015,93.6,0.1,5.5,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,47,2015,95.7,0.3,0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,48,2015,91,1,3.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,49,2015,95.2,0.2,NA,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,50,2015,93.2,0.3,2.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,51,2015,96.9,NA,NA,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1,2016,93.8,0.1,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2,2016,89,1.5,5.2,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3,2016,94,0.2,4.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,4,2016,91.9,0.1,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,5,2016,97.3,0.5,0.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,6,2016,87.3,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,7,2016,96.7,0.3,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,8,2016,98.5,0.1,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,9,2016,85.6,0.6,0.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,10,2016,94.1,0.4,2.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,11,2016,93.3,0.1,2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,12,2016,93.5,0.1,2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13,2016,89.9,0.4,6.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,14,2016,94.9,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,15,2016,88.9,0.1,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,16,2016,92.6,0.2,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,17,2016,89.5,0.3,1.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,18,2016,90.8,0.4,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,19,2016,97.1,0.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,20,2016,94.9,0.2,4.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,21,2016,99.3,0.5,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,22,2016,96.1,0.3,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,23,2016,95.6,0.2,3.5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,24,2016,92.8,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,25,2016,99.4,0.1,NA,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,26,2016,95.4,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,27,2016,93.8,0.4,3.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,28,2016,96.7,0.7,1.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,29,2016,90.9,0.1,4.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,30,2016,91.5,0.2,3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,31,2016,96.5,0.2,1.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,32,2016,95.5,0.1,2.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,33,2016,97.3,0.2,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,34,2016,96.2,0.1,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,35,2016,93.8,0.2,3.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,36,2016,92.6,0.3,2.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,37,2016,NA,0.2,1.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,38,2016,93.8,0.1,6.5,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,39,2016,93.6,0.4,1.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,40,2016,95.1,0.2,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,41,2016,96,0.1,1.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,42,2016,96.7,0.2,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,43,2016,96.9,0.1,1.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,44,2016,97.3,0.2,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,45,2016,93.8,0.2,4.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,46,2016,93.6,0.2,3.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,47,2016,94.1,0.2,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,48,2016,90.5,0.9,4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,49,2016,95.9,0.3,NA,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,50,2016,94,0.3,5.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,51,2016,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1,2017,92.7,0.1,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,2,2017,91.6,0.8,6.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3,2017,93.4,0.5,5.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,4,2017,91.9,0.1,1.6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,5,2017,96.9,0.7,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,6,2017,88.7,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,7,2017,96.5,0.3,2.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,8,2017,96.7,0.1,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,9,2017,81.3,0.7,4.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,10,2017,93.7,0.5,2.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,11,2017,93.4,0.1,2.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,12,2017,95.6,0.1,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13,2017,89.5,0.4,6.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,14,2017,95.2,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,15,2017,90.4,0.2,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,16,2017,93.0,0.2,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,17,2017,89.1,0.3,1.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,18,2017,92.6,0.3,1.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,19,2017,96.1,0.1,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,20,2017,94.3,0.3,5.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,21,2017,98.6,0.6,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,22,2017,96.3,0.3,1.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,23,2017,95.0,0.2,4.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,24,2017,92.5,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,25,2017,99.4,0.1,NA,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,26,2017,95.2,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,27,2017,93.2,0.4,3.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,28,2017,96.2,0.7,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,29,2017,93.0,0.1,3.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,30,2017,92.4,0.2,2.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,31,2017,96.1,0.2,2.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,32,2017,94.8,0.2,1.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,33,2017,97.2,0.2,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,34,2017,97.0,0.2,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,35,2017,94.2,0.3,3.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,36,2017,92.1,0.2,2.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,37,2017,92.6,0.2,1.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,38,2017,93.2,0.1,7.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,39,2017,96.7,0.5,2.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,40,2017,96.4,0.1,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,41,2017,96.3,0.2,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,42,2017,96.6,0.2,2.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,43,2017,96.9,0.1,1.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,44,2017,96.9,0.2,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,45,2017,93.4,0.2,5.2,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,46,2017,94.1,0.2,3.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,47,2017,95.5,0.4,1.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,48,2017,90.6,0.7,3.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,49,2017,98.4,0.2,NA,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,50,2017,91.8,0.2,5.2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,51,2017,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
