States,StateNo.,Year,MMR,Medical,Non.Medical,Any.Exemption,Pop,MedAge,P_White,P_HS,P_BS,MedInc,P_UnInsured,P_Mar,P_BelPov,PerCapHealth,P_ChilNoIns,P_NoCov,P_PrivIns,P_NoPrev,P_LivRur,AveLagMMR,LagMMR11,LagMMR12,LagMMR13,LagMMR14,LagMMR15,LagMed11,LagMed12,LagMed13,LagMed14,LagMed15,LagNMed11,LagNMed12,LagNMed13,LagNMed14,LagNMed15
Maryland,21,2011,98.7,0.3,0.6,0.9,5959902,38.3,57.19,89.6,38.4,76067,8.1,46.9,6.8,8602,4.4,7.7,66.7,11.8,7.4,98.60,98.7,98.2,97.6,99.1,99.4,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8
Massachusetts,22,2011,94.2,0.4,1,1.4,6742143,39.4,79.26,90.1,41.2,70954,3.2,46.4,8,10559,1,5.5,66.5,8.6,2.4,95.04,94.2,94.8,95.1,94.7,96.4,0.4,0.5,0.4,0.3,0.3,1,1.1,1.1,1.1,1
Michigan,23,2011,95,0.6,4.9,5.5,9909600,39.5,78.89,89.9,27.4,50803,8.4,48,11.5,8055,2.7,9.1,56.3,13.8,19.1,95.38,95,94.4,97.5,94.3,95.7,0.6,0.6,0.5,0.3,0.2,4.9,5.3,5.4,5,3.4
Minnesota,24,2011,95.7,NA,NA,NA,5450868,37.8,84.34,92.6,34.2,63217,6.1,52.1,6.9,8871,4.5,9.3,69.2,21.6,30.2,94.34,95.7,96.3,93.4,93.5,92.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,25,2011,99.2,0.1,NA,0.1,2989192,36.7,59.01,83,21,40528,14.6,44.6,17.4,7646,7.3,15.3,41.1,23,58.3,99.48,99.2,99.9,99.7,99.2,99.4,0.1,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA
Missouri,26,2011,96.8,NA,NA,NA,6059651,38.3,82.53,88.8,27.6,49593,11.3,49.3,10.8,8107,4.3,9.7,60.3,15.8,27,96.10,96.8,96.7,95.5,95.8,95.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,27,2011,95,0.4,2.6,3,1023391,39.8,89.11,92.9,29.9,48380,13.7,51.7,9.6,8221,8.5,15.9,56.8,23,68.3,94.60,95,94.8,93.7,94.6,94.9,0.4,0.4,0.3,0.3,0.4,2.6,3,3.3,3.6,3.4
Nebraska,28,2011,99,0.5,1,1.5,1881259,36.2,88.01,90.7,30,54384,9.7,52.8,8.4,8412,5,10.6,67,16.4,40,96.64,99,96,96.6,96,95.6,0.5,0.6,0.6,0.6,0.6,1,1.1,1.1,1.1,1.4
Nevada,29,2011,95.3,0.2,1.5,1.8,2839172,37.5,68.09,85.4,23.2,53094,16.2,45.5,11,6714,13.3,21.8,55.8,25.2,9.8,94.64,95.3,93.6,95.6,94,94.7,0.2,0.7,0.1,0.3,0.1,1.5,1.8,2,1.1,1.9
New Hampshire,30,2011,NA,0.3,1.9,2.2,1327503,42.4,93.68,92.6,35.5,68485,8.4,51.9,5.3,9589,3.4,7.9,69.1,8.8,37.6,92.67,NA,NA,94.7,91.4,91.9,0.3,0.2,0.4,0.2,0.2,1.9,2.3,2.5,2.7,2.4
New Jersey,31,2011,NA,0.2,1.1,1.3,8915456,39.5,68.15,88.9,37.5,73702,10.7,49.1,8.1,8859,3.5,7.6,65.7,8.8,1.3,95.60,NA,97,96.8,92.3,96.3,0.2,0.2,0.2,0.2,0.2,1.1,1.2,1.4,1.6,1.6
New Mexico,32,2011,95.7,0.1,2,2,2082669,37.2,73.49,84.6,26.7,45674,14.4,45.1,15.9,7214,6.7,13,41.3,19.9,41.6,95.88,95.7,93.9,95.9,97.7,96.2,0.1,0.2,0.2,0.1,0.1,2,0.2,0.9,1.2,1.2
New York,33,2011,96.9,0.1,0.5,0.7,19697457,38.2,64.31,85.9,34.7,60741,8.6,44.5,11.7,9778,2.8,8.1,58.7,8.1,10.5,96.82,96.9,96.6,96.8,98.2,95.6,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.6,0.7,0.7
North Carolina,34,2011,NA,0.2,0.7,0.8,9940828,38.3,69.24,86.3,29,48256,13.2,48.9,12.4,7264,6.2,11.1,52.9,17.2,25.5,96.90,NA,NA,NA,96.5,97.3,0.2,0.1,0.1,0.1,0.1,0.7,0.7,0.9,0.9,1
North Dakota,35,2011,90.6,0.1,1,1,736162,35.2,88.26,92,28.2,59114,8.6,52,6.9,9851,6.5,9.3,72.1,21.4,50.7,90.20,90.6,89.9,90,89.8,90.7,0.1,0.1,0.3,0.3,0.3,1,1.8,2.3,2.4,3
Ohio,36,2011,96.1,0.2,1.3,1.5,11586941,39.3,82.16,89.5,26.7,50674,8.5,48,11.2,8712,3.2,7,61.1,12.3,21.1,94.52,96.1,96.3,96.2,91.9,92.1,0.2,0.4,0.2,0.3,0.2,1.3,1.6,1.8,1.8,2
